GeneID	Iso	ENSID	Symbol	Des
85476	33.1	ENSG00000168827	GFM1	G elongation factor mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:13780]
25874	34.1	ENSG00000143158	MPC2	mitochondrial pyruvate carrier 2 [Source:HGNC Symbol;Acc:HGNC:24515]
4719	35.1	ENSG00000023228	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]
26589	36.1	ENSG00000259494	MRPL46	mitochondrial ribosomal protein L46 [Source:HGNC Symbol;Acc:HGNC:1192]
514	37.1	ENSG00000124172	ATP5E	"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit [Source:HGNC Symbol;Acc:HGNC:838]"
5250	38.1	ENSG00000075415	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]
51649	39.1	ENSG00000181610	MRPS23	mitochondrial ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:14509]
2271	40.1	ENSG00000091483	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]
23203	41.1	ENSG00000165688	PMPCA	"peptidase, mitochondrial processing alpha subunit [Source:HGNC Symbol;Acc:HGNC:18667]"
506	42.1	ENSG00000110955	ATP5B	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:830]"
135154	43.1	ENSG00000154079	SDHAF4	succinate dehydrogenase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:20957]
29796	44.1	ENSG00000184076	UQCR10	"ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]"
81689	45.1	ENSG00000135070	ISCA1	iron-sulfur cluster assembly 1 [Source:HGNC Symbol;Acc:HGNC:28660]
8803	46.1	ENSG00000136143	SUCLA2	succinate-CoA ligase ADP-forming beta subunit [Source:HGNC Symbol;Acc:HGNC:11448]
51805	47.1	ENSG00000132423	COQ3	"coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]"
55699	48.1	ENSG00000067704	IARS2	"isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]"
64960	49.1	ENSG00000116898	MRPS15	mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]
3419	50.1	ENSG00000166411	IDH3A	isocitrate dehydrogenase 3 (NAD(+)) alpha [Source:HGNC Symbol;Acc:HGNC:5384]
1353	51.1	ENSG00000166260	COX11	"COX11, cytochrome c oxidase copper chaperone [Source:HGNC Symbol;Acc:HGNC:2261]"
2110	52.1	ENSG00000171503	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]
26519	53.1	ENSG00000134809	TIMM10	translocase of inner mitochondrial membrane 10 [Source:HGNC Symbol;Acc:HGNC:11814]
64981	54.1	ENSG00000130312	MRPL34	mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488]
51069	55.1	ENSG00000112651	MRPL2	mitochondrial ribosomal protein L2 [Source:HGNC Symbol;Acc:HGNC:14056]
593	56.1	ENSG00000248098	BCKDHA	"branched chain keto acid dehydrogenase E1, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:986]"
7388	57.1	ENSG00000173660	UQCRH	ubiquinol-cytochrome c reductase hinge protein [Source:HGNC Symbol;Acc:HGNC:12590]
192286	58.1	ENSG00000146066	HIGD2A	HIG1 hypoxia inducible domain family member 2A [Source:HGNC Symbol;Acc:HGNC:28311]
539	59.1	ENSG00000241837	ATP5O	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit [Source:HGNC Symbol;Acc:HGNC:850]"
1892	60.1	ENSG00000127884	ECHS1	"enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]"
25875	61.1	ENSG00000050426	LETMD1	LETM1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24241]
1337	62.1	ENSG00000111775	COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]
1355	63.1	ENSG00000014919	COX15	"COX15, cytochrome c oxidase assembly homolog [Source:HGNC Symbol;Acc:HGNC:2263]"
10939	64.1	ENSG00000141385	AFG3L2	AFG3 like matrix AAA peptidase subunit 2 [Source:HGNC Symbol;Acc:HGNC:315]
3030	65.1	ENSG00000084754	HADHA	"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit [Source:HGNC Symbol;Acc:HGNC:4801]"
2108	66.1	ENSG00000140374	ETFA	electron transfer flavoprotein alpha subunit [Source:HGNC Symbol;Acc:HGNC:3481]
374291	67.1	ENSG00000115286	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]
1376	68.1	ENSG00000157184	CPT2	carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330]
594	69.1	ENSG00000083123	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987]
3420	70.1	ENSG00000101365	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta [Source:HGNC Symbol;Acc:HGNC:5385]
23395	71.1	ENSG00000011376	LARS2	"leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]"
35	72.1	ENSG00000122971	ACADS	"acyl-CoA dehydrogenase, C-2 to C-3 short chain [Source:HGNC Symbol;Acc:HGNC:90]"
3954	73.1	ENSG00000168924	LETM1	leucine zipper and EF-hand containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6556]
521	74.1	ENSG00000169020	ATP5I	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit E [Source:HGNC Symbol;Acc:HGNC:846]"
4976	75.1	ENSG00000198836	OPA1	"OPA1, mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]"
549	76.1	ENSG00000148090	AUH	AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]
8802	77.1	ENSG00000163541	SUCLG1	succinate-CoA ligase alpha subunit [Source:HGNC Symbol;Acc:HGNC:11449]
4729	78.1	ENSG00000178127	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]
51004	79.1	ENSG00000119723	COQ6	"coenzyme Q6, monooxygenase [Source:HGNC Symbol;Acc:HGNC:20233]"
84545	80.1	ENSG00000055950	MRPL43	mitochondrial ribosomal protein L43 [Source:HGNC Symbol;Acc:HGNC:14517]
83451	81.1	ENSG00000106077	ABHD11	abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407]
522	82.1	ENSG00000154723	ATP5J	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6 [Source:HGNC Symbol;Acc:HGNC:847]"
4714	83.1	ENSG00000166136	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]
9361	84.1	ENSG00000196365	LONP1	"lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]"
1738	85.1	ENSG00000091140	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]
9131	86.1	ENSG00000156709	AIFM1	apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]
79746	87.1	ENSG00000134463	ECHDC3	enoyl-CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23489]
139322	88.1	ENSG00000155008	APOOL	apolipoprotein O like [Source:HGNC Symbol;Acc:HGNC:24009]
124995	89.1	ENSG00000159111	MRPL10	mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]
92399	90.1	ENSG00000148187	MRRF	mitochondrial ribosome recycling factor [Source:HGNC Symbol;Acc:HGNC:7234]
4728	91.1	ENSG00000110717	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8 [Source:HGNC Symbol;Acc:HGNC:7715]
34	92.1	ENSG00000117054	ACADM	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain [Source:HGNC Symbol;Acc:HGNC:89]"
10989	93.1	ENSG00000132305	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]
26520	94.1	ENSG00000100575	TIMM9	translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]
291	95.1	ENSG00000151729	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]
25813	96.1	ENSG00000100347	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]
4720	97.1	ENSG00000158864	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]
4723	98.1	ENSG00000167792	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716]
50	99.1	ENSG00000100412	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]
6832	100.1	ENSG00000156502	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]
2235	101.1	ENSG00000066926	FECH	ferrochelatase [Source:HGNC Symbol;Acc:HGNC:3647]
4528	102.1	ENSG00000085760	MTIF2	mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]
5245	103.1	ENSG00000167085	PHB	prohibitin [Source:HGNC Symbol;Acc:HGNC:8912]
26275	104.1	ENSG00000198130	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]
51116	105.1	ENSG00000122140	MRPS2	mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:14495]
3313	106.1	ENSG00000113013	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]
6834	107.1	ENSG00000148290	SURF1	"SURF1, cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]"
10935	108.1	ENSG00000165672	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]
27069	109.1	ENSG00000165678	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]
60558	110.1	ENSG00000151806	GUF1	"GUF1 homolog, GTPase [Source:HGNC Symbol;Acc:HGNC:25799]"
26517	111.1	ENSG00000099800	TIMM13	translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]
57128	112.1	ENSG00000214113	LYRM4	LYR motif containing 4 [Source:HGNC Symbol;Acc:HGNC:21365]
54948	113.1	ENSG00000166902	MRPL16	mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:HGNC:14476]
64976	114.1	ENSG00000185608	MRPL40	mitochondrial ribosomal protein L40 [Source:HGNC Symbol;Acc:HGNC:14491]
3421	115.1	ENSG00000067829	IDH3G	isocitrate dehydrogenase 3 (NAD(+)) gamma [Source:HGNC Symbol;Acc:HGNC:5386]
6391	116.1	ENSG00000143252	SDHC	succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]
4711	117.1	ENSG00000136521	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]
54949	118.1	ENSG00000167985	SDHAF2	succinate dehydrogenase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:26034]
93058	119.1	ENSG00000135469	COQ10A	coenzyme Q10A [Source:HGNC Symbol;Acc:HGNC:26515]
8209	120.1	ENSG00000160221	C21ORF33	chromosome 21 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:1273]
25828	121.1	ENSG00000100348	TXN2	thioredoxin 2 [Source:HGNC Symbol;Acc:HGNC:17772]
55168	122.1	ENSG00000096080	MRPS18A	mitochondrial ribosomal protein S18A [Source:HGNC Symbol;Acc:HGNC:14515]
1345	123.1	ENSG00000164919	COX6C	cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285]
4715	124.1	ENSG00000147684	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]
23788	125.1	ENSG00000109919	MTCH2	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]
4700	126.1	ENSG00000184983	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]
788	127.1	ENSG00000178537	SLC25A20	solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]
65008	128.1	ENSG00000169288	MRPL1	mitochondrial ribosomal protein L1 [Source:HGNC Symbol;Acc:HGNC:14275]
10469	129.1	ENSG00000104980	TIMM44	translocase of inner mitochondrial membrane 44 [Source:HGNC Symbol;Acc:HGNC:17316]
10063	130.1	ENSG00000138495	COX17	"COX17, cytochrome c oxidase copper chaperone [Source:HGNC Symbol;Acc:HGNC:2264]"
440574	131.1	ENSG00000173436	MINOS1	mitochondrial inner membrane organizing system 1 [Source:HGNC Symbol;Acc:HGNC:32068]
6648	132.1	ENSG00000112096	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]
1340	133.1	ENSG00000126267	COX6B1	cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280]
7416	134.1	ENSG00000213585	VDAC1	voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]
8192	135.1	ENSG00000125656	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit [Source:HGNC Symbol;Acc:HGNC:2084]
3033	136.1	ENSG00000138796	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]
33	137.1	ENSG00000115361	ACADL	"acyl-CoA dehydrogenase, long chain [Source:HGNC Symbol;Acc:HGNC:88]"
38	138.1	ENSG00000075239	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]
115416	139.1	ENSG00000156928	MALSU1	mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]
10845	140.1	ENSG00000166855	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit [Source:HGNC Symbol;Acc:HGNC:2088]
4724	141.1	ENSG00000164258	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]
51073	142.1	ENSG00000105364	MRPL4	mitochondrial ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:14276]
708	143.1	ENSG00000108561	C1QBP	complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]
10531	144.1	ENSG00000107959	PITRM1	pitrilysin metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17663]
55245	145.1	ENSG00000101019	UQCC1	ubiquinol-cytochrome c reductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:15891]
128308	146.1	ENSG00000162910	MRPL55	mitochondrial ribosomal protein L55 [Source:HGNC Symbol;Acc:HGNC:16686]
79922	147.1	ENSG00000278619	MRM1	mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202]
51102	148.1	ENSG00000116353	MECR	mitochondrial trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:19691]
65080	149.1	ENSG00000135900	MRPL44	mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650]
84263	150.1	ENSG00000119471	HSDL2	hydroxysteroid dehydrogenase like 2 [Source:HGNC Symbol;Acc:HGNC:18572]
63931	151.1	ENSG00000120333	MRPS14	mitochondrial ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:14049]
11194	152.1	ENSG00000197150	ABCB8	ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]
91647	153.1	ENSG00000171953	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:18802]
4704	154.1	ENSG00000139180	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693]
388753	155.1	ENSG00000168275	COA6	cytochrome c oxidase assembly factor 6 [Source:HGNC Symbol;Acc:HGNC:18025]
5442	156.1	ENSG00000099821	POLRMT	RNA polymerase mitochondrial [Source:HGNC Symbol;Acc:HGNC:9200]
23479	157.1	ENSG00000136003	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]
84816	158.1	ENSG00000130347	RTN4IP1	reticulon 4 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18647]
55753	159.1	ENSG00000197444	OGDHL	oxoglutarate dehydrogenase like [Source:HGNC Symbol;Acc:HGNC:25590]
509	160.1	ENSG00000165629	ATP5C1	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:833]"
10295	161.1	ENSG00000103507	BCKDK	branched chain ketoacid dehydrogenase kinase [Source:HGNC Symbol;Acc:HGNC:16902]
84340	162.1	ENSG00000164347	GFM2	G elongation factor mitochondrial 2 [Source:HGNC Symbol;Acc:HGNC:29682]
29078	163.1	ENSG00000123545	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21034]
399512	164.1	ENSG00000125434	SLC25A35	solute carrier family 25 member 35 [Source:HGNC Symbol;Acc:HGNC:31921]
8402	165.1	ENSG00000108528	SLC25A11	solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981]
26521	166.1	ENSG00000150779	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B [Source:HGNC Symbol;Acc:HGNC:11818]
27349	167.1	ENSG00000100294	MCAT	malonyl-CoA-acyl carrier protein transacylase [Source:HGNC Symbol;Acc:HGNC:29622]
200205	168.1	ENSG00000181873	IBA57	"IBA57 homolog, iron-sulfur cluster assembly [Source:HGNC Symbol;Acc:HGNC:27302]"
11331	169.1	ENSG00000215021	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]
7818	170.1	ENSG00000132676	DAP3	death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]
56942	171.1	ENSG00000103121	CMC2	C-X9-C motif containing 2 [Source:HGNC Symbol;Acc:HGNC:24447]
644096	172.1	ENSG00000205138	SDHAF1	succinate dehydrogenase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:33867]
51373	173.1	ENSG00000239789	MRPS17	mitochondrial ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:14047]
137872	174.1	ENSG00000147576	ADHFE1	"alcohol dehydrogenase, iron containing 1 [Source:HGNC Symbol;Acc:HGNC:16354]"
9054	175.1	ENSG00000244005	NFS1	"NFS1, cysteine desulfurase [Source:HGNC Symbol;Acc:HGNC:15910]"
79133	176.1	ENSG00000101247	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:15899]
63875	177.1	ENSG00000158042	MRPL17	mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:14053]
51204	178.1	ENSG00000136463	TACO1	translational activator of cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:24316]
55669	179.1	ENSG00000171109	MFN1	mitofusin 1 [Source:HGNC Symbol;Acc:HGNC:18262]
160760	180.1	ENSG00000196850	PPTC7	PTC7 protein phosphatase homolog [Source:HGNC Symbol;Acc:HGNC:30695]
65003	181.1	ENSG00000174547	MRPL11	mitochondrial ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:14042]
1327	182.1	ENSG00000131143	COX4I1	cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]
4726	183.1	ENSG00000145494	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713]
28998	184.1	ENSG00000172172	MRPL13	mitochondrial ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:14278]
5019	185.1	ENSG00000083720	OXCT1	3-oxoacid CoA-transferase 1 [Source:HGNC Symbol;Acc:HGNC:8527]
1329	186.1	ENSG00000135940	COX5B	cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269]
5164	187.1	ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]
211	188.1	ENSG00000023330	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]
9553	189.1	ENSG00000243147	MRPL33	mitochondrial ribosomal protein L33 [Source:HGNC Symbol;Acc:HGNC:14487]
25821	190.1	ENSG00000135297	MTO1	mitochondrial tRNA translation optimization 1 [Source:HGNC Symbol;Acc:HGNC:19261]
11019	191.1	ENSG00000121897	LIAS	lipoic acid synthetase [Source:HGNC Symbol;Acc:HGNC:16429]
4698	192.1	ENSG00000128609	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]
4712	193.1	ENSG00000165264	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701]
10651	194.1	ENSG00000128654	MTX2	metaxin 2 [Source:HGNC Symbol;Acc:HGNC:7506]
8801	195.1	ENSG00000172340	SUCLG2	succinate-CoA ligase GDP-forming beta subunit [Source:HGNC Symbol;Acc:HGNC:11450]
2230	196.1	ENSG00000137714	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]
6576	197.1	ENSG00000100075	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]
28957	198.1	ENSG00000147586	MRPS28	mitochondrial ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:14513]
92609	199.1	ENSG00000105197	TIMM50	translocase of inner mitochondrial membrane 50 [Source:HGNC Symbol;Acc:HGNC:23656]
7417	200.1	ENSG00000165637	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]
284439	201.1	ENSG00000181035	SLC25A42	solute carrier family 25 member 42 [Source:HGNC Symbol;Acc:HGNC:28380]
54543	202.1	ENSG00000196683	TOMM7	translocase of outer mitochondrial membrane 7 [Source:HGNC Symbol;Acc:HGNC:21648]
1891	203.1	ENSG00000104823	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]
5188	204.1	ENSG00000059691	GATB	glutamyl-tRNA amidotransferase subunit B [Source:HGNC Symbol;Acc:HGNC:8849]
617	205.1	ENSG00000074582	BCS1L	"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]"
26284	206.1	ENSG00000132591	ERAL1	Era like 12S mitochondrial rRNA chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3424]
152100	207.1	ENSG00000187118	CMC1	C-X9-C motif containing 1 [Source:HGNC Symbol;Acc:HGNC:28783]
10573	208.1	ENSG00000086504	MRPL28	mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]
10102	209.1	ENSG00000123297	TSFM	"Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]"
2395	210.1	ENSG00000165060	FXN	frataxin [Source:HGNC Symbol;Acc:HGNC:3951]
